               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060109,            0.013229,            0.053427,             0.50137,             0.29014,             0.18914,            0.091287,            0.042025,           0.0062035,            0.049032,             0.00333,             0.00333,             0.07003
                   1,            0.046309,             0.01081,            0.035079,             0.55761,             0.19962,             0.20133,             0.10568,            0.043423,           0.0068409,            0.052366,           0.0065314,           0.0065314,            0.039898
                   2,             0.04503,            0.011092,            0.029247,             0.41577,             0.21971,             0.20031,             0.10456,            0.048315,           0.0074653,            0.049088,           0.0096008,           0.0096008,           0.0096344
                   3,            0.043624,            0.011055,            0.026439,             0.46236,             0.30707,             0.27616,             0.14444,             0.04378,           0.0065428,             0.04129,            0.009406,            0.009406,            0.009406
                   4,             0.04157,            0.010527,            0.022522,             0.51508,             0.33404,             0.31427,             0.16792,            0.041962,           0.0063529,            0.039224,            0.009406,            0.009406,            0.009406
                   5,            0.040229,            0.010328,            0.019811,             0.57583,             0.38174,             0.37543,             0.21228,            0.039682,           0.0059926,            0.036187,            0.009208,            0.009208,            0.009208
                   6,            0.039058,            0.010058,            0.018226,             0.57269,             0.36091,             0.36893,             0.20584,            0.039403,           0.0061107,            0.035495,             0.00901,             0.00901,             0.00901
                   7,            0.038299,           0.0099115,            0.016803,             0.61478,             0.33906,             0.36682,              0.2103,            0.038765,           0.0060897,            0.039923,            0.008812,            0.008812,            0.008812
                   8,            0.037532,           0.0097239,            0.015636,             0.59367,             0.39713,             0.39368,             0.22956,             0.03836,           0.0058815,             0.03389,            0.008614,            0.008614,            0.008614
                   9,            0.037079,           0.0096462,            0.015161,             0.62348,              0.4004,             0.41808,             0.24348,            0.037788,           0.0057888,            0.034591,            0.008416,            0.008416,            0.008416
                  10,            0.036566,           0.0095815,            0.014238,             0.61624,             0.44342,             0.43862,             0.25925,            0.037308,           0.0056684,            0.029233,            0.008218,            0.008218,            0.008218
                  11,            0.036349,           0.0094632,            0.013443,             0.63056,             0.40861,             0.43107,             0.25268,            0.036794,           0.0057005,            0.032194,             0.00802,             0.00802,             0.00802
                  12,            0.035772,           0.0093649,            0.012913,             0.67133,              0.4433,             0.45963,             0.27747,            0.036585,           0.0055863,             0.02941,            0.007822,            0.007822,            0.007822
                  13,            0.035732,           0.0093549,            0.012298,             0.66627,             0.43805,             0.46191,             0.27598,            0.036113,           0.0054651,            0.029995,            0.007624,            0.007624,            0.007624
                  14,            0.035413,            0.009212,            0.012078,             0.64529,             0.46082,             0.46476,             0.28285,            0.035973,           0.0054406,            0.029544,            0.007426,            0.007426,            0.007426
                  15,            0.035064,           0.0091701,             0.01159,              0.6855,             0.44408,             0.47403,             0.28861,            0.035694,           0.0053977,            0.028379,            0.007228,            0.007228,            0.007228
                  16,            0.034845,           0.0091611,            0.011557,             0.67887,             0.46176,             0.48291,              0.2979,            0.035434,           0.0053656,            0.029432,             0.00703,             0.00703,             0.00703
                  17,            0.034579,           0.0090677,            0.010914,             0.65742,             0.46984,             0.48207,             0.29813,            0.035393,           0.0053321,            0.030669,            0.006832,            0.006832,            0.006832
                  18,            0.034197,           0.0089593,            0.010537,             0.70012,             0.44551,             0.48125,             0.29559,            0.035221,           0.0053154,            0.030246,            0.006634,            0.006634,            0.006634
                  19,            0.034128,           0.0088979,            0.010302,             0.69024,             0.46319,             0.48992,             0.30332,            0.035164,           0.0054161,            0.028586,            0.006436,            0.006436,            0.006436
                  20,            0.033798,           0.0089044,            0.010205,             0.67726,             0.47179,             0.49339,             0.30594,            0.034811,           0.0053185,            0.028685,            0.006238,            0.006238,            0.006238
                  21,            0.033594,           0.0088777,           0.0098496,             0.68154,             0.45202,             0.48416,             0.30224,            0.034544,           0.0053311,            0.030681,             0.00604,             0.00604,             0.00604
                  22,            0.033505,           0.0087468,           0.0094712,             0.67884,             0.45249,             0.48179,             0.30064,            0.034476,            0.005281,            0.030035,            0.005842,            0.005842,            0.005842
                  23,            0.033184,           0.0087389,           0.0091476,             0.68764,             0.45866,              0.4904,             0.30859,            0.034314,           0.0052649,            0.029755,            0.005644,            0.005644,            0.005644
                  24,            0.033043,           0.0087023,           0.0091199,              0.6823,             0.47731,             0.50177,             0.31552,             0.03428,           0.0052111,             0.02958,            0.005446,            0.005446,            0.005446
                  25,            0.032742,           0.0087132,           0.0086594,             0.68897,             0.47861,             0.50358,              0.3168,            0.034226,           0.0052181,            0.029186,            0.005248,            0.005248,            0.005248
                  26,            0.032555,           0.0086008,           0.0086255,             0.69735,              0.4853,             0.50806,             0.32009,            0.034077,           0.0052147,            0.028625,             0.00505,             0.00505,             0.00505
                  27,            0.032404,           0.0085872,           0.0084417,             0.69926,             0.48727,             0.51034,             0.32184,            0.033924,           0.0052124,            0.027966,            0.004852,            0.004852,            0.004852
