               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054348,            0.015448,            0.051305,             0.46915,             0.31793,             0.21738,             0.11323,            0.041475,           0.0074987,            0.047938,             0.00333,             0.00333,             0.07003
                   1,            0.043742,             0.01203,            0.031059,             0.59619,             0.23891,             0.23791,             0.12041,            0.043218,           0.0079566,             0.04911,           0.0065314,           0.0065314,            0.039898
                   2,            0.042612,            0.012549,            0.026278,             0.44063,             0.25594,             0.22596,             0.11477,            0.046683,           0.0089045,            0.044376,           0.0096008,           0.0096008,           0.0096344
                   3,            0.041097,            0.012495,            0.023421,              0.5847,             0.35442,             0.36038,              0.1944,             0.04065,           0.0073722,            0.038571,            0.009406,            0.009406,            0.009406
                   4,            0.039356,            0.011905,            0.019572,             0.63201,             0.38721,             0.39409,             0.21337,            0.039338,           0.0076821,            0.036395,            0.009406,            0.009406,            0.009406
                   5,             0.03802,             0.01159,            0.017135,             0.63959,             0.42246,             0.43266,             0.25368,            0.039569,            0.007097,            0.036879,            0.009208,            0.009208,            0.009208
                   6,            0.036859,            0.011289,            0.015693,             0.66666,             0.42253,             0.45038,              0.2639,            0.037787,           0.0071307,            0.031997,             0.00901,             0.00901,             0.00901
                   7,            0.036293,            0.011116,            0.014433,             0.64317,             0.42814,              0.4419,              0.2587,            0.037331,             0.00723,            0.032579,            0.008812,            0.008812,            0.008812
                   8,            0.035713,            0.010902,             0.01334,             0.65849,             0.42332,             0.43734,             0.25835,            0.036705,           0.0069168,            0.035218,            0.008614,            0.008614,            0.008614
                   9,            0.035229,            0.010816,            0.012985,              0.6969,             0.44794,             0.47478,             0.28253,             0.03671,           0.0068478,            0.032203,            0.008416,            0.008416,            0.008416
                  10,            0.034651,            0.010699,            0.011914,              0.7148,             0.47604,             0.50738,             0.30814,            0.035994,           0.0066515,            0.029314,            0.008218,            0.008218,            0.008218
                  11,            0.034371,            0.010623,            0.011598,             0.71417,             0.47725,             0.51361,              0.3161,            0.036148,           0.0066383,            0.028889,             0.00802,             0.00802,             0.00802
                  12,            0.033795,            0.010452,            0.010892,             0.73693,             0.48342,             0.52135,             0.31956,             0.03601,           0.0064463,            0.028072,            0.007822,            0.007822,            0.007822
                  13,            0.033723,            0.010439,            0.010464,              0.7295,             0.50145,             0.53957,             0.33226,            0.035061,           0.0064998,            0.027062,            0.007624,            0.007624,            0.007624
                  14,            0.033624,            0.010307,            0.010162,             0.75371,             0.46871,             0.51871,             0.32513,            0.035338,           0.0064729,            0.030674,            0.007426,            0.007426,            0.007426
                  15,            0.033152,            0.010208,           0.0096688,             0.75257,             0.49398,             0.53773,             0.33412,            0.034926,           0.0063916,            0.028737,            0.007228,            0.007228,            0.007228
                  16,            0.033068,            0.010215,           0.0096323,             0.74016,             0.49452,             0.53318,             0.33554,            0.034833,           0.0063122,            0.028283,             0.00703,             0.00703,             0.00703
                  17,            0.032697,            0.010085,           0.0089851,             0.75885,             0.49648,             0.54342,             0.34151,            0.034811,           0.0063355,              0.0284,            0.006832,            0.006832,            0.006832
                  18,            0.032546,            0.010043,           0.0088431,             0.74143,             0.51015,             0.54512,             0.34252,            0.035077,           0.0062799,            0.028757,            0.006634,            0.006634,            0.006634
                  19,            0.032332,           0.0099345,            0.008866,             0.76272,             0.50992,             0.55347,             0.35108,            0.034316,           0.0062903,            0.028214,            0.006436,            0.006436,            0.006436
                  20,            0.032062,           0.0099231,           0.0085059,             0.75546,             0.51619,               0.556,             0.35298,            0.034107,           0.0062214,            0.028067,            0.006238,            0.006238,            0.006238
                  21,            0.031841,           0.0098682,           0.0081649,                0.78,             0.50836,             0.55722,             0.35514,            0.034182,           0.0062407,            0.027713,             0.00604,             0.00604,             0.00604
                  22,            0.031838,           0.0097466,           0.0078864,             0.78607,             0.50972,              0.5681,             0.36395,            0.033953,           0.0061846,            0.026964,            0.005842,            0.005842,            0.005842
                  23,            0.031547,           0.0097405,           0.0077933,             0.77419,             0.51961,             0.57092,             0.36575,            0.033933,           0.0061877,            0.026592,            0.005644,            0.005644,            0.005644
                  24,            0.031411,           0.0097153,           0.0074897,             0.76356,             0.53249,             0.57108,             0.36543,            0.033755,           0.0061676,            0.026644,            0.005446,            0.005446,            0.005446
                  25,            0.031093,           0.0097135,           0.0073116,             0.76474,             0.53657,             0.57407,             0.36823,            0.033664,           0.0061476,            0.026515,            0.005248,            0.005248,            0.005248
                  26,            0.030896,           0.0095623,           0.0071371,             0.78952,             0.52644,             0.57588,             0.36968,            0.033597,           0.0061533,             0.02633,             0.00505,             0.00505,             0.00505
                  27,            0.030769,           0.0094963,           0.0070387,             0.77682,             0.53183,             0.57761,              0.3714,            0.033585,           0.0061565,            0.026388,            0.004852,            0.004852,            0.004852
                  28,            0.030554,           0.0095377,           0.0064661,             0.76413,             0.54212,             0.58094,             0.37348,            0.033566,           0.0061497,            0.026269,            0.004654,            0.004654,            0.004654
                  29,            0.030348,           0.0095033,           0.0064876,             0.77934,             0.53401,             0.57952,             0.37332,            0.033561,           0.0061448,            0.026379,            0.004456,            0.004456,            0.004456
                  30,             0.03016,           0.0093946,           0.0063418,             0.76661,             0.54358,             0.58092,             0.37446,            0.033524,           0.0061311,            0.026512,            0.004258,            0.004258,            0.004258
                  31,            0.030107,           0.0093521,           0.0061075,              0.7738,             0.53774,             0.58148,             0.37565,            0.033485,           0.0061309,            0.026613,             0.00406,             0.00406,             0.00406
                  32,            0.029782,           0.0092587,           0.0061134,             0.76223,             0.54447,             0.58065,             0.37549,            0.033474,           0.0061312,             0.02694,            0.003862,            0.003862,            0.003862
                  33,            0.029646,           0.0092761,           0.0057341,             0.77681,             0.53677,             0.58137,             0.37641,            0.033464,           0.0061376,            0.026962,            0.003664,            0.003664,            0.003664
                  34,            0.029376,           0.0092328,           0.0054812,             0.77863,             0.53675,             0.58323,             0.37776,            0.033424,           0.0061476,             0.02691,            0.003466,            0.003466,            0.003466
                  35,            0.029185,           0.0091256,           0.0053391,             0.75489,             0.55203,             0.58388,             0.37867,            0.033352,           0.0061619,            0.026961,            0.003268,            0.003268,            0.003268
                  36,            0.028978,           0.0090484,           0.0053416,             0.75489,             0.55258,             0.58458,             0.37946,            0.033274,           0.0061699,            0.027027,             0.00307,             0.00307,             0.00307
                  37,            0.028757,           0.0090133,            0.005076,             0.77228,              0.5426,             0.58523,             0.37982,            0.033257,           0.0061713,            0.027139,            0.002872,            0.002872,            0.002872
                  38,            0.028491,           0.0089958,           0.0049688,             0.78117,             0.53708,             0.58504,             0.37975,            0.033231,           0.0061757,            0.027249,            0.002674,            0.002674,            0.002674
                  39,            0.028308,           0.0089308,            0.004831,             0.78918,              0.5322,             0.58542,                0.38,            0.033211,           0.0061766,            0.027292,            0.002476,            0.002476,            0.002476
                  40,            0.028132,           0.0088202,            0.004511,             0.77655,             0.54176,             0.58612,             0.38033,            0.033206,           0.0061794,             0.02729,            0.002278,            0.002278,            0.002278
                  41,            0.027864,           0.0088379,           0.0044615,             0.78944,             0.53409,             0.58613,             0.38027,            0.033213,           0.0061803,            0.027347,             0.00208,             0.00208,             0.00208
